Skyddat fynd;Id;Taxonsorteringsordning;Valideringsstatus;Rödlistade;TaxonId;Artnamn;Vetenskapligt namn;Auktor;Antal;Enhet;Ålder-Stadium;Kön;Aktivitet;Längd (mm);Vikt (g);Metod;Huvudlokal;Lokalnamn;Ost;Nord;Noggrannhet;Diffusion;Län;Kommun;Provins;Församling;Externid;Startdatum;Starttid;Slutdatum;Sluttid
;60496061;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);2;ex.;imago/adult; ;friflygande;;;observerad;;Torp, Lane-Ryr;1280920;6482270;100;0;Västra Götaland;Uddevalla;Bohuslän;Lane-Ryr;;2016-07-10;12:00;2016-07-10;12:30
;66811632;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);2; ;imago/adult; ;födosökande;;; ;;Hällingedalen, Ramsvikslandet;1233280;6485800;50;0;Västra Götaland;Sotenäs;Bohuslän;Askum;;2017-07-22;12:20;2017-07-22;14:00
;16351513;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);3; ;imago/adult; ;friflygande;;;slag-/vattenhåvning;;Ålslån, Herrestadsfjället;1271680;6482580;50;0;Västra Götaland;Uddevalla;Bohuslän;Herrestad;;2014-07-27;11:00;2014-07-27;13:30
;72019714;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);1; ;imago/adult; ;friflygande;;; ;;Holmen, Lane Ryr;1280160;6482090;100;0;Västra Götaland;Uddevalla;Bohuslän;Lane-Ryr;;2018-06-25;13:30;2018-06-25;13:30
;72056277;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);4; ;imago/adult; ;friflygande;;; ;;Torp, Lane-Ryr;1280920;6482270;100;0;Västra Götaland;Uddevalla;Bohuslän;Lane-Ryr;;2018-06-27;14:00;2018-06-27;14:00
;60114758;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);noterad; ; ; ;friflygande;;; ;;Herrevads kloster;1340750;6221690;250;0;Skåne;Klippan;Skåne;Riseberga;;2016-06-13;;2016-06-13;
;96363995;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);1; ; ; ;friflygande;;; ;;Rosenborg;1549961;6283508;100;0;Kalmar;Mörbylånga;Öland;Norra Möckleby;;2021-09-25;;2021-09-25;
;15510030;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);4;;;;friflygande;;;;;Räfshalen;1344760;6220360;250;0;Skåne;Klippan;Skåne;Riseberga;;2013-06-28;;2013-06-28;
;15516151;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);3;;;;friflygande;;;;;Horsabacken;1341090;6222790;100;0;Skåne;Klippan;Skåne;Riseberga;;2013-07-02;;2013-07-02;
;14876931;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);1;;;;friflygande;;;;;Rynke, f.d F5-området;1337100;6220990;250;0;Skåne;Klippan;Skåne;Riseberga;;2011-08-07;;2011-08-07;
;14849142;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);3;;imago/adult;;;;;observerad;;Sekegölen;1435800;6395130;100;0;Jönköping;Nässjö;Småland;Nässjö;;2011-07-20;;2011-07-20;
;15557240;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);1;;imago/adult;;friflygande;;;observerad;;Sekegölen;1435800;6395130;100;0;Jönköping;Nässjö;Småland;Nässjö;;2013-07-22;;2013-07-22;
;16082549;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);2; ;imago/adult; ; ;;; ;;Knutstorp;1443690;6404250;500;0;Jönköping;Nässjö;Småland;Flisby;;2014-07-09;;2014-07-09;
;13603161;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);1;;imago/adult;;friflygande;;;observerad;;Södra oset, Ryssbysjön;1430810;6396610;250;0;Jönköping;Nässjö;Småland;Nässjö;;2008-08-09;;2008-08-09;
;13568237;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);4;;imago/adult;;friflygande;;;observerad;;Sekegölen;1435800;6395130;100;0;Jönköping;Nässjö;Småland;Nässjö;;2008-07-21;;2008-07-21;
;13568250;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);3;;imago/adult;;friflygande;;;observerad;;Fagertofta gravfält;1436720;6396500;250;0;Jönköping;Nässjö;Småland;Nässjö;;2008-07-21;;2008-07-21;
;14124678;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);2;;imago/adult;;födosökande;;;observerad;;Sekegölen;1435800;6395130;100;0;Jönköping;Nässjö;Småland;Nässjö;;2009-08-01;;2009-08-01;
;14129885;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);2;;imago/adult;;födosökande;;;observerad;;Sjunnarydsmaden;1440600;6392280;250;0;Jönköping;Nässjö;Småland;Norra Solberga;;2009-08-05;;2009-08-05;
;14453768;41632;Ovaliderad;;201068;Skogspärlemorfjäril;Fabriciana adippe;(Denis & Schiffermüller, 1775);2;;imago/adult;;friflygande;;;observerad;;Sekegölen;1435800;6395130;100;0;Jönköping;Nässjö;Småland;Nässjö;;2010-07-14;;2010-07-14;
