Skyddat fynd;Id;Taxonsorteringsordning;Valideringsstatus;Rödlistade;TaxonId;Artnamn;Vetenskapligt namn;Auktor;Antal;Enhet;Ålder-Stadium;Kön;Aktivitet;Längd (mm);Vikt (g);Metod;Huvudlokal;Lokalnamn;Ost;Nord;Noggrannhet;Diffusion;Län;Kommun;Provins;Församling;Externid;Startdatum;Starttid;Slutdatum;Sluttid
;66856699;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1; ;imago/adult; ;friflygande;;;observerad;Ideboås;Ideboås naturreservat;1491778;6324018;300;0;Kronoberg;Uppvidinge;Småland;Älghult;;2017-07-25;;2017-07-25;
;102304096;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;ex.; ; ; ;;; ;;Djupadalen - Dala;1379319;6460553;50;0;Västra Götaland;Falköping;Västergötland;Dala;;2022-07-16;;2022-07-16;
;94895193;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1; ; ; ; ;;; ;Perstorp;Tomten;1450964;6416338;34;0;Jönköping;Aneby;Småland;Askeryd;;2021-07-15;12:30;2021-07-15;12:30
;79132770;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1; ; ; ;friflygande;;; ;Perstorp;Tomten;1450964;6416338;34;0;Jönköping;Aneby;Småland;Askeryd;;2019-07-28;10:30;2019-07-28;10:30
;62066508;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;ex.; ; ;friflygande;;; ;;Perstorp, Askeryds s:n;1450964;6416314;400;0;Jönköping;Aneby;Småland;Askeryd;;2016-07-19;18:00;2016-07-19;18:00
;78979363;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;ex.;imago/adult;hane;friflygande;;;observerad;;Nackareservatet, Brotorp 200 m SO;1633740;6574400;25;0;Stockholm;Nacka;Södermanland;Nacka;;2019-07-18;;2019-07-18;
;94635119;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1;ex.;imago/adult;hane;friflygande;;; ;;Grimsta ridhus 300 m SV;1616470;6583849;50;0;Stockholm;Stockholm;Uppland;Stockholm;;2021-07-03;;2021-07-03;
;99662852;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);noterad;;;;;;;;;Salta skär, bryggan;1576087;6600984;100;0;Uppsala;Enköping;Uppland;Vallby;;2021-07-26;;2021-07-26;
;55805333;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);noterad;;;;;;;;;Bäckamöllan;1394296;6178857;100;0;Skåne;Tomelilla;Skåne;Brösarp;;2015-07-25;;2015-07-25;
;94651318;41578;Ovaliderad;;100328;Sälgskimmerfjäril;Apatura iris;(Linnaeus, 1758);1; ; ; ;födosökande;;;observerad;;Grusvägen vid ängadammen;1356280;6176148;50;0;Skåne;Lund;Skåne;Silvåkra;;2021-07-03;14:00;2021-07-03;14:00
